SessionPaths, fridrih_l:   	Waiting for exclusive lock of /srv/src/telebot/public/session.madeline/safe.php.lock...
SessionPaths, fridrih_l:   	Got exclusive lock of /srv/src/telebot/public/session.madeline/safe.php.lock...
SessionPaths, fridrih_l:   	Waiting for exclusive lock of /srv/src/telebot/public/session.madeline/lightState.php.lock...
SessionPaths, fridrih_l:   	Got exclusive lock of /srv/src/telebot/public/session.madeline/lightState.php.lock...
APIWrapper, fridrih_l:     	Saved session!
Session, fridrih_l:        	Garbage collected 21 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 20 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
MinDatabase, fridrih_l:    	Found 1 pending contexts
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop generic
UpdateHandler, fridrih_l:  	Saving update of type updateChannelUserTyping
MinDatabase, fridrih_l:    	Found 1 pending contexts
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop generic
UpdateHandler, fridrih_l:  	Saving update of type updateChannelUserTyping
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateDeleteChannelMessages
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateDeleteChannelMessages
MinDatabase, fridrih_l:    	Found 1 pending contexts
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop generic
UpdateHandler, fridrih_l:  	Saving update of type updateChannelUserTyping
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
MinDatabase, fridrih_l:    	Found 1 pending contexts
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop generic
UpdateHandler, fridrih_l:  	Saving update of type updateChannelUserTyping
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001505752023
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateDeleteChannelMessages
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001678114174
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
Session, fridrih_l:        	Garbage collected 30 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 21 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001406623218
UpdateHandler, fridrih_l:  	Saving update of type updateDeleteChannelMessages
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001406623218
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
PingLoop, fridrih_l:       	Ping DC 2.0
Session, fridrih_l:        	Garbage collected 21 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 21 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001678114174
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001678114174
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
SessionPaths, fridrih_l:   	Waiting for exclusive lock of /srv/src/telebot/public/session.madeline/safe.php.lock...
SessionPaths, fridrih_l:   	Got exclusive lock of /srv/src/telebot/public/session.madeline/safe.php.lock...
SessionPaths, fridrih_l:   	Waiting for exclusive lock of /srv/src/telebot/public/session.madeline/lightState.php.lock...
SessionPaths, fridrih_l:   	Got exclusive lock of /srv/src/telebot/public/session.madeline/lightState.php.lock...
APIWrapper, fridrih_l:     	Saved session!
Session, fridrih_l:        	Garbage collected 21 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 21 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001505752023
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
PingLoop, fridrih_l:       	Ping DC 2.0
Session, fridrih_l:        	Garbage collected 20 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 20 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001678114174
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001678114174
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001505752023
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
Session, fridrih_l:        	Garbage collected 22 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 21 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
PingLoop, fridrih_l:       	Ping DC 2.0
SessionPaths, fridrih_l:   	Waiting for exclusive lock of /srv/src/telebot/public/session.madeline/safe.php.lock...
SessionPaths, fridrih_l:   	Got exclusive lock of /srv/src/telebot/public/session.madeline/safe.php.lock...
SessionPaths, fridrih_l:   	Waiting for exclusive lock of /srv/src/telebot/public/session.madeline/lightState.php.lock...
SessionPaths, fridrih_l:   	Got exclusive lock of /srv/src/telebot/public/session.madeline/lightState.php.lock...
APIWrapper, fridrih_l:     	Saved session!
Session, fridrih_l:        	Garbage collected 19 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 22 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateDeleteChannelMessages
PingLoop, fridrih_l:       	Ping DC 2.0
Session, fridrih_l:        	Garbage collected 20 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 21 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
PingLoop, fridrih_l:       	Ping DC 2.0
Session, fridrih_l:        	Garbage collected 19 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 20 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001678114174
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001505752023
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateDeleteChannelMessages
MinDatabase, fridrih_l:    	Found 1 pending contexts
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop generic
UpdateHandler, fridrih_l:  	Saving update of type updateChannelUserTyping
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
SessionPaths, fridrih_l:   	Waiting for exclusive lock of /srv/src/telebot/public/session.madeline/safe.php.lock...
SessionPaths, fridrih_l:   	Got exclusive lock of /srv/src/telebot/public/session.madeline/safe.php.lock...
SessionPaths, fridrih_l:   	Waiting for exclusive lock of /srv/src/telebot/public/session.madeline/lightState.php.lock...
SessionPaths, fridrih_l:   	Got exclusive lock of /srv/src/telebot/public/session.madeline/lightState.php.lock...
APIWrapper, fridrih_l:     	Saved session!
Session, fridrih_l:        	Garbage collected 25 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 21 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
PingLoop, fridrih_l:       	Ping DC 2.0
Session, fridrih_l:        	Garbage collected 19 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 20 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
PingLoop, fridrih_l:       	Ping DC 2.0
Session, fridrih_l:        	Garbage collected 19 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 20 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateDeleteChannelMessages
MinDatabase, fridrih_l:    	Found 1 pending contexts
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop generic
UpdateHandler, fridrih_l:  	Saving update of type updateChannelUserTyping
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
SessionPaths, fridrih_l:   	Waiting for exclusive lock of /srv/src/telebot/public/session.madeline/safe.php.lock...
SessionPaths, fridrih_l:   	Got exclusive lock of /srv/src/telebot/public/session.madeline/safe.php.lock...
SessionPaths, fridrih_l:   	Waiting for exclusive lock of /srv/src/telebot/public/session.madeline/lightState.php.lock...
SessionPaths, fridrih_l:   	Got exclusive lock of /srv/src/telebot/public/session.madeline/lightState.php.lock...
APIWrapper, fridrih_l:     	Saved session!
Session, fridrih_l:        	Garbage collected 23 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 22 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateDeleteChannelMessages
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
MinDatabase, fridrih_l:    	Found 1 pending contexts
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateDeleteChannelMessages
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop generic
UpdateHandler, fridrih_l:  	Saving update of type updateChannelUserTyping
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001505752023
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
Session, fridrih_l:        	Garbage collected 25 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 21 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
PingLoop, fridrih_l:       	Ping DC 2.0
Session, fridrih_l:        	Garbage collected 19 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 20 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
PingLoop, fridrih_l:       	Ping DC 2.0
SessionPaths, fridrih_l:   	Waiting for exclusive lock of /srv/src/telebot/public/session.madeline/safe.php.lock...
SessionPaths, fridrih_l:   	Got exclusive lock of /srv/src/telebot/public/session.madeline/safe.php.lock...
SessionPaths, fridrih_l:   	Waiting for exclusive lock of /srv/src/telebot/public/session.madeline/lightState.php.lock...
SessionPaths, fridrih_l:   	Got exclusive lock of /srv/src/telebot/public/session.madeline/lightState.php.lock...
APIWrapper, fridrih_l:     	Saved session!
Session, fridrih_l:        	Garbage collected 19 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 19 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001505752023
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
PingLoop, fridrih_l:       	Ping DC 2.0
Session, fridrih_l:        	Garbage collected 20 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 22 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateDeleteChannelMessages
MinDatabase, fridrih_l:    	Found 1 pending contexts
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop generic
UpdateHandler, fridrih_l:  	Saving update of type updateChannelUserTyping
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
PingLoop, fridrih_l:       	Ping DC 2.0
Session, fridrih_l:        	Garbage collected 23 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 22 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
PingLoop, fridrih_l:       	Ping DC 2.0
SessionPaths, fridrih_l:   	Waiting for exclusive lock of /srv/src/telebot/public/session.madeline/safe.php.lock...
SessionPaths, fridrih_l:   	Got exclusive lock of /srv/src/telebot/public/session.madeline/safe.php.lock...
SessionPaths, fridrih_l:   	Waiting for exclusive lock of /srv/src/telebot/public/session.madeline/lightState.php.lock...
SessionPaths, fridrih_l:   	Got exclusive lock of /srv/src/telebot/public/session.madeline/lightState.php.lock...
APIWrapper, fridrih_l:     	Saved session!
Session, fridrih_l:        	Garbage collected 19 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 21 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateDeleteChannelMessages
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateDeleteChannelMessages
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
Session, fridrih_l:        	Garbage collected 22 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 22 outgoing messages in DC 2, 0 left
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001678114174
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateDeleteChannelMessages
MinDatabase, fridrih_l:    	Found 1 pending contexts
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop generic
UpdateHandler, fridrih_l:  	Saving update of type updateChannelUserTyping
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
PingLoop, fridrih_l:       	Ping DC 2.0
Session, fridrih_l:        	Garbage collected 23 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 21 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001505752023
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateDeleteChannelMessages
MinDatabase, fridrih_l:    	Found 1 pending contexts
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop generic
UpdateHandler, fridrih_l:  	Saving update of type updateChannelUserTyping
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
SessionPaths, fridrih_l:   	Waiting for exclusive lock of /srv/src/telebot/public/session.madeline/safe.php.lock...
SessionPaths, fridrih_l:   	Got exclusive lock of /srv/src/telebot/public/session.madeline/safe.php.lock...
SessionPaths, fridrih_l:   	Waiting for exclusive lock of /srv/src/telebot/public/session.madeline/lightState.php.lock...
SessionPaths, fridrih_l:   	Got exclusive lock of /srv/src/telebot/public/session.madeline/lightState.php.lock...
APIWrapper, fridrih_l:     	Saved session!
Session, fridrih_l:        	Garbage collected 24 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 23 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001505752023
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001678114174
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001505752023
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
Session, fridrih_l:        	Garbage collected 10 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 12 outgoing messages in DC 2, 10 left
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateDeleteChannelMessages
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001678114174
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
Session, fridrih_l:        	Garbage collected 21 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 17 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
PingLoop, fridrih_l:       	Ping DC 2.0
SessionPaths, fridrih_l:   	Waiting for exclusive lock of /srv/src/telebot/public/session.madeline/safe.php.lock...
SessionPaths, fridrih_l:   	Got exclusive lock of /srv/src/telebot/public/session.madeline/safe.php.lock...
SessionPaths, fridrih_l:   	Waiting for exclusive lock of /srv/src/telebot/public/session.madeline/lightState.php.lock...
SessionPaths, fridrih_l:   	Got exclusive lock of /srv/src/telebot/public/session.madeline/lightState.php.lock...
APIWrapper, fridrih_l:     	Saved session!
Session, fridrih_l:        	Garbage collected 19 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 20 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateDeleteChannelMessages
MinDatabase, fridrih_l:    	Found 1 pending contexts
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop generic
UpdateHandler, fridrih_l:  	Saving update of type updateChannelUserTyping
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
Session, fridrih_l:        	Garbage collected 23 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 21 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateDeleteChannelMessages
Session, fridrih_l:        	Garbage collected 20 incoming messages in DC 2, 0 left
Session, fridrih_l:        	Garbage collected 21 outgoing messages in DC 2, 0 left
PingLoop, fridrih_l:       	Ping DC 2.0
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateDeleteChannelMessages
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateDeleteChannelMessages
MinDatabase, fridrih_l:    	Found 1 pending contexts
UpdateHandler, fridrih_l:  	Parsing updates (updateShort) received via the socket...
FeedLoop, fridrih_l:       	Resumed update feed loop generic
UpdateHandler, fridrih_l:  	Saving update of type updateChannelUserTyping
UpdateHandler, fridrih_l:  	Parsing updates (updates) received via the socket...
SeqLoop, fridrih_l:        	Was fed updates of type updates...
FeedLoop, fridrih_l:       	Resumed update feed loop channel -1001547256725
UpdateHandler, fridrih_l:  	Saving update of type updateNewChannelMessage
PingLoop, fridrih_l:       	Ping DC 2.0
SessionPaths, fridrih_l:   	Waiting for exclusive lock of /srv/src/telebot/public/session.madeline/safe.php.lock...
SessionPaths, fridrih_l:   	Got exclusive lock of /srv/src/telebot/public/session.madeline/safe.php.lock...
